Date,Open,High,Low,Close
12/16/2022,"14.0500","14.1700","12.6600","12.9100"
12/15/2022,"14.3300","14.5100","13.8700","14.0400"
12/14/2022,"13.7700","14.9400","13.7500","14.3400"
12/13/2022,"13.3200","14.1500","12.7900","13.7700"
12/12/2022,"13.6200","13.6200","12.8700","13.3200"
12/11/2022,"13.6100","13.8000","13.5500","13.6200"
12/10/2022,"13.5400","13.7100","13.5300","13.6200"
12/09/2022,"13.6400","14.0000","13.5300","13.5500"
12/08/2022,"13.5400","13.7700","13.2500","13.6400"
12/07/2022,"14.1000","14.3200","13.4900","13.5400"
12/06/2022,"13.9700","14.3800","13.7500","14.1000"
12/05/2022,"13.6500","14.1700","13.5900","13.9800"
12/04/2022,"13.4700","13.7500","13.2400","13.6500"
12/03/2022,"13.7500","13.7800","13.4300","13.4700"
12/02/2022,"13.4800","13.8000","13.3400","13.7500"
12/01/2022,"13.8800","14.3200","13.4100","13.4800"
11/30/2022,"13.4100","13.9300","13.2300","13.8900"
11/29/2022,"13.3800","13.9500","13.1500","13.4100"
11/28/2022,"14.3900","14.4200","12.7800","13.3800"
11/27/2022,"14.2300","14.4400","13.9700","14.3900"
11/26/2022,"14.1700","14.9300","13.9600","14.2300"
11/25/2022,"14.4400","14.6500","13.9000","14.1700"
11/24/2022,"14.1200","14.9100","13.8700","14.4400"
11/23/2022,"11.9800","14.4600","11.9800","14.1200"
11/22/2022,"11.5600","12.1600","10.9200","11.9900"
11/21/2022,"12.2300","12.4400","11.2800","11.5500"
11/20/2022,"12.8200","13.4800","12.2200","12.2400"
11/19/2022,"13.2200","13.2600","12.5800","12.8200"
11/18/2022,"13.6500","13.8600","12.9800","13.2200"
11/17/2022,"14.1500","14.4900","12.9400","13.6200"
11/16/2022,"14.2900","14.5900","13.6500","14.1700"
11/15/2022,"13.9200","15.0300","13.5900","14.2800"
11/14/2022,"13.5500","14.9800","12.2400","13.9200"
11/13/2022,"14.9300","14.9600","13.3300","13.5800"
11/12/2022,"15.8000","16.4500","14.7300","14.9300"
11/11/2022,"18.0100","18.2000","15.1400","15.8000"
11/10/2022,"12.6100","19.1400","12.6000","18.0700"
11/09/2022,"23.7800","24.7600","12.3100","12.5400"
11/08/2022,"31.0100","31.5100","22.9400","23.8700"
11/07/2022,"33.7100","33.8200","30.6900","31.0100"
11/06/2022,"36.7200","37.3100","33.7000","33.7100"
11/05/2022,"33.5900","38.6700","33.4500","36.7200"
11/04/2022,"31.2400","33.9800","30.5900","33.6200"
11/03/2022,"30.3000","32.2100","30.2400","31.2700"
11/02/2022,"32.3500","32.9300","30.2600","30.3100"
11/01/2022,"32.5400","33.3700","32.1600","32.3500"
10/31/2022,"32.5300","34.3600","31.9400","32.5900"
10/30/2022,"32.9900","33.5100","32.0400","32.5300"
10/29/2022,"32.3200","33.8300","31.8900","32.9900"
10/28/2022,"31.0000","32.5300","30.1300","32.3200"
10/27/2022,"31.3000","32.3100","30.5100","31.0400"
10/26/2022,"30.9500","32.0200","30.6600","31.3000"
10/25/2022,"28.5000","32.2700","28.0900","30.9500"
10/24/2022,"28.8500","29.4900","28.1700","28.5000"
10/23/2022,"28.0300","29.0200","27.7500","28.8500"
10/22/2022,"28.2000","28.2400","27.5100","28.0300"
10/21/2022,"28.2100","28.3700","26.8600","28.2100"
10/20/2022,"29.6300","29.6700","28.0700","28.2100"
10/19/2022,"30.3100","30.3100","29.5500","29.6300"
10/18/2022,"30.9000","31.4600","29.7800","30.3100"
10/17/2022,"30.3700","31.1900","29.8600","30.9000"
10/16/2022,"29.7800","30.5300","29.4700","30.3700"
10/15/2022,"30.2400","30.2400","29.5800","29.7800"
10/14/2022,"30.6200","31.9800","30.0000","30.2500"
10/13/2022,"31.1700","31.2800","27.9300","30.6200"
10/12/2022,"31.2600","31.5200","30.4800","31.1700"
10/11/2022,"32.4700","32.5700","31.0700","31.2600"
